source,STUDY_ID,newsite,REALM,TAXA,estimated_area_in_sqKm
BioTIME,18,STUDY_ID_18_PLOT_24,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_25,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_26,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_3,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_4,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_5,Terrestrial,terrestrial plants,5.59E-06
BioTIME,18,STUDY_ID_18_PLOT_6,Terrestrial,terrestrial plants,5.59E-06
BioTIME,39,39,Terrestrial,birds,0.1
BioTIME,42,42,Terrestrial,birds,1.60E-01
BioTIME,46,46,Terrestrial,birds,1.00E+00
BioTIME,47,STUDY_ID_47_PLOT_Redvers,Terrestrial,birds,4.15
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_139,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_142,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_145,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_148,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_151,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_190,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_193,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_196,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_202,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_244,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_247,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_250,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_253,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_292,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_295,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_301,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_304,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_343,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_346,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_352,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_355,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_394,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_40,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_400,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_406,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_46,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_91,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_1_97,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_139,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_142,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_145,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_148,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_151,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_190,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_193,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_196,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_244,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_247,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_250,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_253,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_292,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_295,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_298,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_301,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_304,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_343,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_346,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_349,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_352,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_355,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_394,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_40,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_43,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_46,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_2_97,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_139,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_142,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_145,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_148,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_151,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_190,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_193,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_241,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_244,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_247,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_250,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_253,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_292,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_298,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_301,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_304,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_343,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_346,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_352,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_355,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_394,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_40,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_43,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_46,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_3_97,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_139,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_142,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_145,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_148,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_151,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_190,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_193,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_244,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_250,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_292,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_301,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_304,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_343,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_346,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_349,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_355,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_394,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_40,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_406,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,54,STUDY_ID_54_PLOT_Wet_4_46,Terrestrial,terrestrial invertebrates,0.0000283
BioTIME,56,STUDY_ID_56_PLOT_103,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_115,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_117,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_119,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_12,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_120,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_132,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_142,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_143,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_23,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_24,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_33,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_35,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_42,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_44,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_46,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_47,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_48,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_57,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_70,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_72,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_83,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_84,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_92,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_95,Terrestrial,mammals,3.14E-02
BioTIME,56,STUDY_ID_56_PLOT_96,Terrestrial,mammals,3.14E-02
BioTIME,59,STUDY_ID_59_PLOT_Plot11,Terrestrial,mammals,2.50E-03
BioTIME,59,STUDY_ID_59_PLOT_Plot14,Terrestrial,mammals,2.50E-03
BioTIME,63,63,Terrestrial,terrestrial invertebrates,2.08
BioTIME,67,STUDY_ID_67_LAT_-33.88_LON_18.5,Terrestrial,birds,1586205
BioTIME,67,STUDY_ID_67_LAT_-34.08_LON_18.52,Terrestrial,birds,1586205
BioTIME,214,STUDY_ID_214_LAT_44.1692_LON_-122.4327,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_44.18319_LON_-122.4188,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_44.21823_LON_-122.2559,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_44.2187_LON_-122.2441,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_44.22958_LON_-122.2239,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_44.344_LON_-122.123,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_45.06271_LON_-123.9398,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_45.06477_LON_-123.9413,Terrestrial,terrestrial plants,0.01
BioTIME,214,STUDY_ID_214_LAT_45.06532_LON_-123.9423,Terrestrial,terrestrial plants,0.01
BioTIME,215,STUDY_ID_215_LAT_38.916667_LON_-74.958,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_39.166667_LON_-76.483333,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_40.266667_LON_-77.276028,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_40.633333_LON_-75.991528,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_40.833333_LON_-74.212944,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_41.083333_LON_-73.688667,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_41.233333_LON_-72.901417,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_41.266667_LON_-72.902778,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_41.733333_LON_-73.170694,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_42.016667_LON_-72.966944,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_42.016667_LON_-83.0455,Terrestrial,birds,28944570
BioTIME,215,STUDY_ID_215_LAT_46.833333_LON_-92.031944,Terrestrial,birds,28944570
BioTIME,243,STUDY_ID_243_LAT_37.44534_LON_-75.66411,Terrestrial,terrestrial plants,0.000025
BioTIME,243,STUDY_ID_243_LAT_37.4465_LON_-75.66651,Terrestrial,terrestrial plants,0.000025
BioTIME,243,STUDY_ID_243_LAT_37.44807_LON_-75.67178,Terrestrial,terrestrial plants,0.000025
BioTIME,301,STUDY_ID_301_PLOT_002d fl_a,Terrestrial,terrestrial invertebrates,0.4841
BioTIME,301,STUDY_ID_301_PLOT_002d fl_b,Terrestrial,terrestrial invertebrates,0.4841
BioTIME,308,STUDY_ID_308_PLOT_A1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_A9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_B9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_C9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_D9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_E9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_F9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_G9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H10,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H2,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H3,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H4,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H5,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H6,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H7,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H8,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_H9,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_I1,Terrestrial,mammals,0.001
BioTIME,308,STUDY_ID_308_PLOT_I10,Terrestrial,mammals,0.001
